,sensor [Auto],,,,
05/22/26 10:11:16.466,"420","1008","23.8","54.1",
05/22/26 10:11:21.666,"410","1008","23.8","54",
05/22/26 10:11:26.848,"390","1008","23.8","54.2",
05/22/26 10:11:32.133,"380","1008","23.7","54.2",
05/22/26 10:11:37.454,"390","1008","23.7","54.1",
05/22/26 10:11:42.720,"410","1008","23.7","54.2",
05/22/26 10:11:48.037,"400","1008","23.7","54.5",
05/22/26 10:11:53.426,"370","1008","23.7","54.3",
05/22/26 10:11:58.833,"380","1008","23.8","54.5",
05/22/26 10:12:04.319,"380","1008","23.7","54.8",
05/22/26 10:12:09.812,"400","1008","23.7","54.7",
05/22/26 10:12:15.336,"400","1008","23.7","54.3",
05/22/26 10:12:20.940,"390","1008","23.8","54.4",
05/22/26 10:12:26.506,"410","1008","23.7","54.7",
05/22/26 10:12:32.235,"400","1008","23.7","54.9",
05/22/26 10:12:37.933,"400","1008","23.7","54.9",
05/22/26 10:12:43.652,"390","1008","23.7","55",
05/22/26 10:12:49.335,"410","1008","23.7","55",
05/22/26 10:12:55.099,"420","1008","23.7","54.9",
05/22/26 10:13:00.873,"390","1008","23.7","54.9",
05/22/26 10:13:06.726,"370","1008","23.6","54.8",
05/22/26 10:13:12.621,"370","1008","23.6","54.8",
05/22/26 10:13:18.477,"380","1008","23.6","54.9",
05/22/26 10:13:24.412,"370","1008","23.6","55.2",
05/22/26 10:13:30.365,"370","1008","23.6","54.7",
05/22/26 10:13:36.320,"370","1008","23.6","54.7",
05/22/26 10:13:42.362,"370","1008","23.6","55",
05/22/26 10:13:48.398,"360","1008","23.6","54.8",
05/22/26 10:13:54.447,"360","1008","23.6","54.9",
05/22/26 10:14:00.570,"350","1008","23.6","54.8",
05/22/26 10:14:06.998,"360","1008","23.6","54.7",
05/22/26 10:14:13.181,"370","1008","23.6","54.8",
05/22/26 10:14:19.388,"370","1008","23.6","54.5",
05/22/26 10:14:25.645,"370","1008","23.6","54.5",
05/22/26 10:14:31.956,"360","1008","23.6","54.7",
05/22/26 10:14:38.304,"360","1008","23.6","55",
05/22/26 10:14:44.672,"340","1008","23.5","54.9",
05/22/26 10:14:51.089,"340","1008","23.5","55",
05/22/26 10:14:57.544,"330","1008","23.5","54.8",
05/22/26 10:15:04.065,"340","1008","23.5","55.3",
05/22/26 10:15:10.625,"360","1008","23.5","55.2",
05/22/26 10:15:17.194,"330","1008","23.5","55",
05/22/26 10:15:23.804,"350","1008","23.5","54.7",
05/22/26 10:15:30.466,"350","1008","23.5","54.6",
05/22/26 10:15:37.195,"330","1008","23.5","54.8",
05/22/26 10:15:43.943,"380","1008","23.5","55.1",
05/22/26 10:15:50.695,"380","1008","23.5","54.9",
05/22/26 10:15:57.551,"350","1008","23.5","55",
05/22/26 10:16:04.423,"350","1008","23.5","55.3",
05/22/26 10:16:11.354,"350","1008","23.4","55.2",
05/22/26 10:16:18.347,"320","1008","23.5","55.4",
05/22/26 10:16:25.352,"340","1008","23.5","55.4",
05/22/26 10:16:32.417,"320","1008","23.4","55.4",
05/22/26 10:16:39.505,"320","1008","23.4","55.2",
05/22/26 10:16:46.655,"340","1008","23.4","55.3",
05/22/26 10:16:53.866,"340","1008","23.4","55.2",
05/22/26 10:17:01.135,"360","1008","23.4","55.1",
05/22/26 10:17:08.498,"350","1008","23.4","55.3",
05/22/26 10:17:16.069,"330","1008","23.4","55.4",
05/22/26 10:17:22.721,"330","1008","23.4","55.5",
05/22/26 10:17:28.937,"350","1008","23.4","55.3",
05/22/26 10:17:35.144,"350","1008","23.4","55.1",
05/22/26 10:17:41.441,"340","1008","23.4","55",
05/22/26 10:17:47.727,"360","1008","23.4","54.9",
05/22/26 10:17:54.084,"360","1008","23.4","55.1",
05/22/26 10:18:00.447,"350","1008","23.4","54.7",
05/22/26 10:18:06.866,"350","1008","23.4","54.9",
05/22/26 10:18:13.338,"340","1008","23.4","54.8",
05/22/26 10:18:19.799,"370","1008","23.4","54.9",
05/22/26 10:18:26.307,"360","1008","23.4","54.9",
05/22/26 10:18:32.867,"360","1008","23.4","55.2",
05/22/26 10:18:39.496,"390","1008","23.4","55.2",
05/22/26 10:18:46.064,"390","1008","23.4","55.3",
05/22/26 10:18:52.728,"400","1008","23.4","55.2",
05/22/26 10:18:59.403,"400","1008","23.4","55.3",
05/22/26 10:19:06.105,"370","1008","23.4","55.3",
05/22/26 10:19:12.818,"370","1008","23.4","55.2",
05/22/26 10:19:19.490,"400","1008","23.4","55.3",
05/22/26 10:19:26.212,"370","1008","23.4","55.4",
05/22/26 10:19:33.004,"370","1008","23.4","55.4",
05/22/26 10:19:39.928,"350","1008","23.4","55.2",
05/22/26 10:19:47.097,"340","1008","23.4","55.4",
05/22/26 10:19:54.421,"360","1008","23.4","55.4",
05/22/26 10:20:01.835,"370","1008","23.4","55.2",
05/22/26 10:20:09.475,"370","1008","23.4","55.3",
05/22/26 10:20:17.097,"370","1008","23.4","56.6",
05/22/26 10:20:24.963,"360","1008","23.4","56.1",
05/22/26 10:20:32.908,"380","1008","23.4","55.6",
05/22/26 10:20:41.103,"370","1008","23.3","54.8",
05/22/26 10:20:49.532,"400","1008","23.4","54.7",
05/22/26 10:20:58.150,"400","1008","23.4","55.4",
05/22/26 10:21:06.951,"370","1008","23.4","55.5",
05/22/26 10:21:15.763,"400","1008","23.4","56.1",
05/22/26 10:21:24.545,"330","1008","23.4","55.7",
05/22/26 10:21:33.351,"360","1008","23.4","55.3",
05/22/26 10:21:42.299,"400","1008","23.4","55.3",
05/22/26 10:21:51.166,"400","1008","23.5","59",
05/22/26 10:22:00.148,"370","1008","23.5","57.3",
05/22/26 10:22:09.225,"350","1008","23.7","61",
05/22/26 10:22:18.279,"380","1008","23.7","62.6",
05/22/26 10:22:27.367,"420","1008","23.8","58.3",
05/22/26 10:22:36.526,"380","1008","24","60.8",
05/22/26 10:22:45.674,"400","1008","24","60.6",
05/22/26 10:22:54.781,"360","1008","24.2","59.8",
05/22/26 10:23:03.964,"400","1008","24.3","60",
05/22/26 10:23:13.284,"410","1008","24.4","59.2",
05/22/26 10:23:22.476,"380","1008","24.5","58.7",
05/22/26 10:23:31.711,"390","1008","24.5","59.2",
05/22/26 10:23:41.071,"220","1008","24.5","56.8",
05/22/26 10:23:50.373,"270","1008","24.5","55.9",
05/22/26 10:23:59.775,"370","1008","24.4","53.6",
05/22/26 10:24:09.440,"390","1008","24.4","53.3",
05/22/26 10:24:18.924,"330","1008","24.4","52.9",
05/22/26 10:24:28.469,"370","1008","24.4","64",
05/22/26 10:24:37.996,"400","1008","24.4","65.3",
05/22/26 10:24:48.151,"370","1008","24","63.5",
05/22/26 10:24:58.721,"400","1008","24.2","55.6",
05/22/26 10:25:09.056,"380","1008","24.2","53.9",
05/22/26 10:25:19.291,"410","1008","24.2","53.6",
05/22/26 10:25:29.511,"370","1008","24.1","55",
05/22/26 10:25:40.216,"370","1008","24.4","0",
05/22/26 10:25:56.897,"0","0",,"0",
05/22/26 10:26:31.572,"400","1008","24.4","56.8",
05/22/26 10:26:42.406,"370","1008","24.2","54.5",
05/22/26 10:26:53.166,"370","1008","24.1","53.9",
05/22/26 10:27:04.118,"350","1008","24","53.5",
05/22/26 10:27:14.995,"390","1008","23.9","53.6",
05/22/26 10:27:25.896,"380","1008","23.9","53.7",
05/22/26 10:27:36.850,"330","1008","23.9","53.5",
05/22/26 10:27:47.661,"340","1008","23.9","53.4",
05/22/26 10:27:58.643,"360","1008","23.9","53.4",
05/22/26 10:28:09.777,"370","1008","23.9","53.4",
05/22/26 10:28:20.839,"410","1008","23.9","53.3",
05/22/26 10:28:30.637,"380","1008","23.9","53.3",
05/22/26 10:28:39.573,"430","1008","23.9","53.3",
05/22/26 10:28:48.690,"390","1008","23.9","53.4",
05/22/26 10:28:58.005,"380","1008","23.9","54.3",
05/22/26 10:29:08.604,"420","1008","23.9","53.5",
05/22/26 10:29:18.990,"400","1008","23.9","53.6",
05/22/26 10:29:28.555,"390","1008","23.9","53.6",
05/22/26 10:29:38.282,"370","1008","23.9","53.9",
05/22/26 10:29:48.293,"360","1008","23.9","53.9",
05/22/26 10:29:58.509,"370","1008","23.9","53.9",
05/22/26 10:30:09.081,"360","1008","23.9","54",
05/22/26 10:30:19.937,"400","1008","23.9","53.6",
05/22/26 10:30:31.218,"410","1008","23.9","53.6",
05/22/26 10:30:43.000,"420","1008","23.9","53.5",
05/22/26 10:30:55.022,"420","1008","23.9","53.5",
05/22/26 10:31:07.148,"430","1008","23.9","53.3",
05/22/26 10:31:19.233,"410","1008","23.8","53.6",
05/22/26 10:31:31.401,"450","1008","23.9","53.8",
05/22/26 10:31:43.635,"400","1008","23.9","54.4",
05/22/26 10:31:55.900,"390","1008","23.9","54.2",
05/22/26 10:32:08.540,"360","1008","23.8","53.8",
05/22/26 10:32:20.888,"380","1008","23.8","54.5",
05/22/26 10:32:33.279,"450","1008","23.8","54.5",
05/22/26 10:32:45.757,"430","1008","23.8","54.4",
05/22/26 10:32:58.179,"430","1008","23.8","54",
05/22/26 10:33:11.096,"420","1008","23.8","54.5",
05/22/26 10:33:23.655,"420","1008","23.8","53.9",
05/22/26 10:33:36.469,"420","1008","23.8","53.8",
05/22/26 10:33:49.138,"430","1008","23.8","54.1",
05/22/26 10:34:01.872,"430","1008","23.8","54.2",
05/22/26 10:34:14.997,"400","1008","23.8","54.9",
05/22/26 10:34:27.760,"440","1008","23.8","55.2",
05/22/26 10:34:40.661,"430","1008","23.8","55.1",
05/22/26 10:34:53.543,"420","1008","23.8","54.6",
05/22/26 10:35:06.637,"430","1008","23.8","54.5",
05/22/26 10:35:19.611,"450","1008","23.8","54.5",
05/22/26 10:35:32.615,"440","1008","23.9","54.6",
05/22/26 10:35:45.676,"410","1008","23.8","54.1",
05/22/26 10:35:58.786,"430","1008","23.8","54.1",
05/22/26 10:36:12.006,"430","1008","23.8","54.4",
05/22/26 10:36:25.232,"420","1008","23.8","55.5",
05/22/26 10:36:38.437,"430","1008","23.8","55.6",
05/22/26 10:36:51.695,"460","1008","23.8","56.1",
05/22/26 10:37:05.062,"430","1008","23.8","56.2",
05/22/26 10:37:18.360,"440","1008","23.8","56.6",
05/22/26 10:37:31.765,"420","1008","23.8","57",
05/22/26 10:37:45.163,"460","1008","23.8","57.3",
05/22/26 10:37:58.604,"450","1008","23.8","57",
05/22/26 10:38:12.180,"440","1008","23.8","56.8",
05/22/26 10:38:25.700,"470","1008","23.8","56.3",
05/22/26 10:38:39.280,"470","1008","23.7","56",
05/22/26 10:38:52.874,"460","1008","23.7","56.6",
05/22/26 10:39:06.637,"440","1008","23.7","56.9",
05/22/26 10:39:20.280,"470","1008","23.7","57",
05/22/26 10:39:33.974,"430","1008","23.7","56.8",
05/22/26 10:39:47.744,"460","1008","23.7","56.6",
05/22/26 10:40:01.440,"460","1008","23.7","56.3",
05/22/26 10:40:16.042,"440","1008","23.7","56.1",
05/22/26 10:40:29.951,"440","1008","23.6","55.8",
05/22/26 10:40:44.021,"450","1008","23.7","55.9",
05/22/26 10:40:57.823,"460","1008","23.6","55.7",
05/22/26 10:41:08.536,"430","1008","23.7","56.1",
05/22/26 10:41:19.321,"430","1008","23.6","56.4",
05/22/26 10:41:30.102,"460","1008","23.7","56",
05/22/26 10:41:40.992,"490","1008","23.7","55.9",
05/22/26 10:41:51.888,"470","1008","23.7","55.9",
05/22/26 10:42:03.008,"460","1008","23.7","56.1",
05/22/26 10:42:14.404,"490","1008","23.7","55.7",
05/22/26 10:42:25.442,"490","1008","23.7","55.7",
05/22/26 10:42:36.812,"460","1008","23.6","55.9",
05/22/26 10:42:50.857,"500","1008","23.7","56",
05/22/26 10:43:07.921,"500","1008","23.6","55.5",
