Time,,Concentration
05/22/26 12:01:25.014,,78560
05/22/26 12:01:30.000,,78940
05/22/26 12:01:35.005,,79040
05/22/26 12:01:40.002,,79430
05/22/26 12:01:45.012,,79620
05/22/26 12:01:50.015,,79910
05/22/26 12:01:55.011,,80400
05/22/26 12:02:00.015,,80010
05/22/26 12:02:05.009,,79820
05/22/26 12:02:10.008,,79910
05/22/26 12:02:15.014,,79820
05/22/26 12:02:20.007,,80490
05/22/26 12:02:25.014,,80400
05/22/26 12:02:30.004,,80490
05/22/26 12:02:35.007,,80490
05/22/26 12:02:40.002,,80690
05/22/26 12:02:45.005,,81270
05/22/26 12:02:50.012,,81080
05/22/26 12:02:55.004,,80790
05/22/26 12:03:00.009,,80880
05/22/26 12:03:05.011,,80980
05/22/26 12:03:10.016,,80590
05/22/26 12:03:15.002,,81170
05/22/26 12:03:20.015,,81270
05/22/26 12:03:25.014,,81370
05/22/26 12:03:30.009,,81970
05/22/26 12:03:35.014,,81660
05/22/26 12:03:40.001,,81460
05/22/26 12:03:45.004,,81560
05/22/26 12:03:50.012,,81660
05/22/26 12:03:55.005,,81660
05/22/26 12:04:00.002,,81760
05/22/26 12:04:05.004,,81860
05/22/26 12:04:10.013,,82270
05/22/26 12:04:15.008,,82170
05/22/26 12:04:20.008,,82470
05/22/26 12:04:25.002,,82980
05/22/26 12:04:30.003,,83190
05/22/26 12:04:35.015,,83080
05/22/26 12:04:40.015,,83290
05/22/26 12:04:45.009,,83600
05/22/26 12:04:50.014,,83490
05/22/26 12:04:55.002,,83090
05/22/26 12:05:00.014,,82470
05/22/26 12:05:05.013,,83180
05/22/26 12:05:10.009,,83390
05/22/26 12:05:15.015,,83180
05/22/26 12:05:20.015,,83590
05/22/26 12:05:25.002,,83390
05/22/26 12:05:30.002,,83490
05/22/26 12:05:35.015,,83490
05/22/26 12:05:40.002,,83490
05/22/26 12:05:45.008,,83690
05/22/26 12:05:50.011,,83900
05/22/26 12:05:55.016,,83690
05/22/26 12:06:00.012,,84000
05/22/26 12:06:05.016,,84100
05/22/26 12:06:10.009,,84300
05/22/26 12:06:15.003,,84300
05/22/26 12:06:20.015,,84410
05/22/26 12:06:25.010,,84410
05/22/26 12:06:30.008,,84810
05/22/26 12:06:35.008,,84510
05/22/26 12:06:40.007,,85130
05/22/26 12:06:45.004,,84920
05/22/26 12:06:50.015,,84920
05/22/26 12:06:55.017,,85550
05/22/26 12:07:00.017,,85550
05/22/26 12:07:05.009,,85020
05/22/26 12:07:10.013,,84810
05/22/26 12:07:15.017,,84510
05/22/26 12:07:20.018,,84410
05/22/26 12:07:25.008,,84710
05/22/26 12:07:30.007,,85020
05/22/26 12:07:35.008,,85020
05/22/26 12:07:40.007,,85660
05/22/26 12:07:45.015,,85550
05/22/26 12:07:50.012,,86090
05/22/26 12:07:55.010,,86090
05/22/26 12:08:00.008,,85870
05/22/26 12:08:05.007,,85870
05/22/26 12:08:10.003,,86090
05/22/26 12:08:15.006,,86400
05/22/26 12:08:20.007,,85660
05/22/26 12:08:25.016,,85980
05/22/26 12:08:30.011,,85660
05/22/26 12:08:35.016,,85870
05/22/26 12:08:40.008,,86090
05/22/26 12:08:45.010,,86510
05/22/26 12:08:50.005,,86720
05/22/26 12:08:55.005,,85980
05/22/26 12:09:00.019,,86620
05/22/26 12:09:05.008,,86940
05/22/26 12:09:10.008,,87040
05/22/26 12:09:15.003,,86940
05/22/26 12:09:20.007,,86940
05/22/26 12:09:25.019,,86830
05/22/26 12:09:30.007,,85870
05/22/26 12:09:35.014,,86400
05/22/26 12:09:40.018,,86510
05/22/26 12:09:45.010,,86400
05/22/26 12:09:50.006,,86940
05/22/26 12:09:55.010,,86830
05/22/26 12:10:00.009,,86720
05/22/26 12:10:05.004,,86620
05/22/26 12:10:10.019,,86400
05/22/26 12:10:15.014,,86720
05/22/26 12:10:20.019,,86720
05/22/26 12:10:25.014,,86940
05/22/26 12:10:30.018,,86940
05/22/26 12:10:35.014,,87040
05/22/26 12:10:40.007,,87040
05/22/26 12:10:45.007,,87150
05/22/26 12:10:50.016,,87250
05/22/26 12:10:55.019,,87250
05/22/26 12:11:00.019,,88100
05/22/26 12:11:05.004,,87360
05/22/26 12:11:10.016,,87470
05/22/26 12:11:15.008,,87470
05/22/26 12:11:20.009,,87680
05/22/26 12:11:25.005,,87470
05/22/26 12:11:30.017,,87790
05/22/26 12:11:35.019,,87570
05/22/26 12:11:40.004,,88100
05/22/26 12:11:45.005,,88100
05/22/26 12:11:50.005,,88210
05/22/26 12:11:55.012,,88210
05/22/26 12:12:00.015,,88100
05/22/26 12:12:05.014,,88320
05/22/26 12:12:10.011,,88210
05/22/26 12:12:15.009,,88880
05/22/26 12:12:20.010,,88660
05/22/26 12:12:25.015,,88880
05/22/26 12:12:30.015,,89110
05/22/26 12:12:35.015,,88210
05/22/26 12:12:40.011,,88320
05/22/26 12:12:45.009,,88320
05/22/26 12:12:50.010,,88320
05/22/26 12:12:55.007,,88660
05/22/26 12:13:00.019,,88880
05/22/26 12:13:05.017,,88430
05/22/26 12:13:10.018,,88320
05/22/26 12:13:15.015,,88320
05/22/26 12:13:20.016,,88990
05/22/26 12:13:25.017,,88430
05/22/26 12:13:30.015,,88100
05/22/26 12:13:35.008,,88550
05/22/26 12:13:40.019,,88660
05/22/26 12:13:45.020,,88880
05/22/26 12:13:50.007,,88880
05/22/26 12:13:55.014,,88770
05/22/26 12:14:00.007,,89220
05/22/26 12:14:05.008,,88990
05/22/26 12:14:10.013,,89110
05/22/26 12:14:15.018,,88770
05/22/26 12:14:20.010,,88880
05/22/26 12:14:25.012,,89110
05/22/26 12:14:30.017,,89330
05/22/26 12:14:35.021,,89220
05/22/26 12:14:40.017,,89220
05/22/26 12:14:45.014,,89440
05/22/26 12:14:50.007,,90000
05/22/26 12:14:55.017,,90000
05/22/26 12:15:00.016,,89780
05/22/26 12:15:05.021,,89330
05/22/26 12:15:10.016,,89330
05/22/26 12:15:15.021,,89220
05/22/26 12:15:20.011,,89330
05/22/26 12:15:25.008,,89440
05/22/26 12:15:30.018,,89890
05/22/26 12:15:35.021,,89890
05/22/26 12:15:40.016,,90000
05/22/26 12:15:45.021,,90000
05/22/26 12:15:50.010,,90000
05/22/26 12:15:55.012,,89890
05/22/26 12:16:00.015,,89890
05/22/26 12:16:05.016,,90110
05/22/26 12:16:10.017,,90110
05/22/26 12:16:15.017,,90560
05/22/26 12:16:20.022,,90560
05/22/26 12:16:25.015,,90110
05/22/26 12:16:30.015,,90000
05/22/26 12:16:35.010,,89890
05/22/26 12:16:40.020,,89440
05/22/26 12:16:45.018,,89890
05/22/26 12:16:50.018,,90110
05/22/26 12:16:55.013,,90000
05/22/26 12:17:00.007,,89890
05/22/26 12:17:05.022,,90110
05/22/26 12:17:10.014,,90110
05/22/26 12:17:15.016,,89890
05/22/26 12:17:20.017,,89890
05/22/26 12:17:25.022,,90340
05/22/26 12:17:30.021,,90110
05/22/26 12:17:35.013,,89780
05/22/26 12:17:40.020,,90220
05/22/26 12:17:45.009,,90340
05/22/26 12:17:50.014,,90340
05/22/26 12:17:55.022,,90220
05/22/26 12:18:00.012,,90900
05/22/26 12:18:05.022,,91120
05/22/26 12:18:10.022,,90340
05/22/26 12:18:15.019,,90220
05/22/26 12:18:20.016,,90340
05/22/26 12:18:25.009,,90220
05/22/26 12:18:30.015,,90670
05/22/26 12:18:35.016,,90780
05/22/26 12:18:40.010,,90780
05/22/26 12:18:45.009,,90780
05/22/26 12:18:50.021,,90780
05/22/26 12:18:55.015,,90780
05/22/26 12:19:00.015,,90340
05/22/26 12:19:05.009,,90340
05/22/26 12:19:10.022,,90000
05/22/26 12:19:15.023,,90220
05/22/26 12:19:20.022,,90220
05/22/26 12:19:25.023,,90340
05/22/26 12:19:30.021,,90340
05/22/26 12:19:35.020,,89660
05/22/26 12:19:40.019,,89780
05/22/26 12:19:45.018,,90560
05/22/26 12:19:50.014,,90780
05/22/26 12:19:55.013,,90560
05/22/26 12:20:00.021,,90220
05/22/26 12:20:05.022,,91120
05/22/26 12:20:10.021,,90900
05/22/26 12:20:15.011,,90900
05/22/26 12:20:20.008,,91010
05/22/26 12:20:25.014,,91010
05/22/26 12:20:30.017,,91690
05/22/26 12:20:35.020,,91350
05/22/26 12:20:40.019,,91800
05/22/26 12:20:45.021,,92030
05/22/26 12:20:50.023,,91460
05/22/26 12:20:55.023,,91570
05/22/26 12:21:00.009,,91800
05/22/26 12:21:05.020,,92030
05/22/26 12:21:10.019,,91690
05/22/26 12:21:15.012,,91460
05/22/26 12:21:20.016,,91340
05/22/26 12:21:25.023,,91230
05/22/26 12:21:30.009,,91920
05/22/26 12:21:35.010,,91910
05/22/26 12:21:40.015,,92150
05/22/26 12:21:45.021,,91690
05/22/26 12:21:50.014,,91570
05/22/26 12:21:55.016,,92030
05/22/26 12:22:00.018,,91690
05/22/26 12:22:05.011,,91800
05/22/26 12:22:10.021,,91790
05/22/26 12:22:15.023,,92270
05/22/26 12:22:20.009,,91790
05/22/26 12:22:25.025,,91680
05/22/26 12:22:30.018,,91680
05/22/26 12:22:35.016,,91680
05/22/26 12:22:40.020,,91010
05/22/26 12:22:45.014,,91790
05/22/26 12:22:50.014,,92030
05/22/26 12:22:55.018,,92030
05/22/26 12:23:00.024,,92500
05/22/26 12:23:05.010,,91910
05/22/26 12:23:10.012,,92030
05/22/26 12:23:15.023,,91680
05/22/26 12:23:20.016,,91680
05/22/26 12:23:25.013,,91570
05/22/26 12:23:30.025,,91680
05/22/26 12:23:35.022,,91790
05/22/26 12:23:40.025,,91690
05/22/26 12:23:45.023,,92270
05/22/26 12:23:50.017,,92270
05/22/26 12:23:55.015,,91680
05/22/26 12:24:00.014,,91920
05/22/26 12:24:05.025,,92270
05/22/26 12:24:10.023,,92620
05/22/26 12:24:15.018,,92270
05/22/26 12:24:20.024,,92150
05/22/26 12:24:25.017,,92740
05/22/26 12:24:30.024,,92620
05/22/26 12:24:35.020,,92620
05/22/26 12:24:40.018,,92850
05/22/26 12:24:45.019,,93320
05/22/26 12:24:50.010,,92850
05/22/26 12:24:55.023,,93210
05/22/26 12:25:00.022,,92620
05/22/26 12:25:05.020,,92390
05/22/26 12:25:10.019,,92620
05/22/26 12:25:15.021,,92970
05/22/26 12:25:20.023,,92970
05/22/26 12:25:25.022,,92970
05/22/26 12:25:30.024,,93440
05/22/26 12:25:35.023,,93440
05/22/26 12:25:40.021,,93210
05/22/26 12:25:45.023,,92850
05/22/26 12:25:50.016,,92500
05/22/26 12:25:55.014,,92850
05/22/26 12:26:00.024,,92740
05/22/26 12:26:05.015,,93090
05/22/26 12:26:10.014,,92850
05/22/26 12:26:15.017,,92970
05/22/26 12:26:20.016,,93210
05/22/26 12:26:25.017,,92970
05/22/26 12:26:30.017,,93090
05/22/26 12:26:35.019,,92850
05/22/26 12:26:40.023,,92390
05/22/26 12:26:45.012,,92270
05/22/26 12:26:50.026,,92620
05/22/26 12:26:55.016,,92970
05/22/26 12:27:00.024,,92740
05/22/26 12:27:05.021,,92740
05/22/26 12:27:10.023,,92620
05/22/26 12:27:15.019,,92970
05/22/26 12:27:20.018,,93560
05/22/26 12:27:25.013,,93440
05/22/26 12:27:30.025,,92850
05/22/26 12:27:35.019,,92620
05/22/26 12:27:40.025,,92850
05/22/26 12:27:45.020,,93210
05/22/26 12:27:50.026,,92850
05/22/26 12:27:55.020,,92970
05/22/26 12:28:00.026,,92970
05/22/26 12:28:05.025,,93090
05/22/26 12:28:10.023,,92850
05/22/26 12:28:15.025,,93090
05/22/26 12:28:20.018,,92610
05/22/26 12:28:25.018,,92610
05/22/26 12:28:30.025,,92740
05/22/26 12:28:35.016,,92970
05/22/26 12:28:40.016,,93210
05/22/26 12:28:45.026,,93210
05/22/26 12:28:50.020,,92970
05/22/26 12:28:55.020,,93560
05/22/26 12:29:00.028,,93560
05/22/26 12:29:05.019,,93680
05/22/26 12:29:10.024,,93440
05/22/26 12:29:15.027,,94030
05/22/26 12:29:20.013,,93790
05/22/26 12:29:25.014,,92970
05/22/26 12:29:30.015,,92850
05/22/26 12:29:35.024,,93320
05/22/26 12:29:40.022,,93440
05/22/26 12:29:45.023,,93560
05/22/26 12:29:50.023,,93090
05/22/26 12:29:55.019,,93210
05/22/26 12:30:00.028,,93440
05/22/26 12:30:05.027,,93790
05/22/26 12:30:10.028,,92970
05/22/26 12:30:15.025,,93210
05/22/26 12:30:20.025,,93560
05/22/26 12:30:25.023,,93790
05/22/26 12:30:30.023,,93560
05/22/26 12:30:35.018,,93910
05/22/26 12:30:40.021,,93560
05/22/26 12:30:45.019,,93560
05/22/26 12:30:50.025,,93560
05/22/26 12:30:55.023,,93790
05/22/26 12:31:00.027,,94140
05/22/26 12:31:05.024,,94030
05/22/26 12:31:10.026,,94380
05/22/26 12:31:15.027,,94140
05/22/26 12:31:20.024,,94260
05/22/26 12:31:25.022,,94140
05/22/26 12:31:30.025,,93910
05/22/26 12:31:35.027,,93430
05/22/26 12:31:40.023,,94020
05/22/26 12:31:45.026,,94140
05/22/26 12:31:50.020,,93780
05/22/26 12:31:55.014,,93900
05/22/26 12:32:00.028,,93670
05/22/26 12:32:05.029,,93550
05/22/26 12:32:10.017,,93670
05/22/26 12:32:15.018,,93780
05/22/26 12:32:20.018,,94490
05/22/26 12:32:25.020,,94380
05/22/26 12:32:30.026,,94610
05/22/26 12:32:35.025,,94020
05/22/26 12:32:40.027,,94130
05/22/26 12:32:45.019,,93670
05/22/26 12:32:50.028,,94490
05/22/26 12:32:55.029,,94020
05/22/26 12:33:00.028,,93310
05/22/26 12:33:05.015,,93430
05/22/26 12:33:10.016,,93430
05/22/26 12:33:15.019,,93550
05/22/26 12:33:20.015,,93200
05/22/26 12:33:25.020,,94020
05/22/26 12:33:30.024,,93780
05/22/26 12:33:35.021,,93430
05/22/26 12:33:40.017,,93780
05/22/26 12:33:45.015,,93780
05/22/26 12:33:50.025,,94250
05/22/26 12:33:55.027,,94370
05/22/26 12:34:00.022,,94020
05/22/26 12:34:05.021,,94370
05/22/26 12:34:10.028,,94370
05/22/26 12:34:15.028,,94600
05/22/26 12:34:20.030,,94600
05/22/26 12:34:25.029,,94600
05/22/26 12:34:30.028,,94490
05/22/26 12:34:35.026,,94370
05/22/26 12:34:40.024,,94370
05/22/26 12:34:45.020,,94370
05/22/26 12:34:50.021,,94250
05/22/26 12:34:55.017,,94020
05/22/26 12:35:00.028,,94020
05/22/26 12:35:05.025,,94720
05/22/26 12:35:10.019,,94720
05/22/26 12:35:15.029,,94950
05/22/26 12:35:20.029,,94720
05/22/26 12:35:25.022,,93900
05/22/26 12:35:30.024,,94130
05/22/26 12:35:35.026,,94250
05/22/26 12:35:40.015,,94130
05/22/26 12:35:45.026,,94130
05/22/26 12:35:50.023,,94250
05/22/26 12:35:55.021,,94600
05/22/26 12:36:00.022,,94490
05/22/26 12:36:05.020,,94840
05/22/26 12:36:10.030,,94130
05/22/26 12:36:15.030,,94600
05/22/26 12:36:20.028,,94950
05/22/26 12:36:25.025,,94840
05/22/26 12:36:30.027,,94720
05/22/26 12:36:35.030,,94950
05/22/26 12:36:40.028,,94840
05/22/26 12:36:45.026,,94130
05/22/26 12:36:50.029,,93670
05/22/26 12:36:55.023,,94130
05/22/26 12:37:00.022,,94490
05/22/26 12:37:05.020,,94600
05/22/26 12:37:10.021,,95070
05/22/26 12:37:15.027,,95070
05/22/26 12:37:20.019,,94720
05/22/26 12:37:25.020,,94950
05/22/26 12:37:30.020,,94600
05/22/26 12:37:35.018,,94370
05/22/26 12:37:40.032,,94490
05/22/26 12:37:45.026,,94370
05/22/26 12:37:50.023,,94600
05/22/26 12:37:55.019,,94130
05/22/26 12:38:00.025,,94250
05/22/26 12:38:05.027,,94370
05/22/26 12:38:10.023,,94250
05/22/26 12:38:15.021,,94370
05/22/26 12:38:20.032,,94370
05/22/26 12:38:25.020,,94720
05/22/26 12:38:30.018,,94370
05/22/26 12:38:35.029,,94130
05/22/26 12:38:40.026,,94490
05/22/26 12:38:45.028,,94130
05/22/26 12:38:50.019,,94130
05/22/26 12:38:55.029,,94370
05/22/26 12:39:00.028,,94130
05/22/26 12:39:05.024,,94720
05/22/26 12:39:10.024,,94840
05/22/26 12:39:15.019,,94720
05/22/26 12:39:20.027,,94950
05/22/26 12:39:25.031,,94600
05/22/26 12:39:30.025,,94490
05/22/26 12:39:35.018,,94600
05/22/26 12:39:40.020,,95070
05/22/26 12:39:45.028,,94840
05/22/26 12:39:50.020,,94600
05/22/26 12:39:55.022,,94370
05/22/26 12:40:00.023,,93900
05/22/26 12:40:05.026,,94130
05/22/26 12:40:10.028,,94600
05/22/26 12:40:15.031,,94370
05/22/26 12:40:20.031,,95070
05/22/26 12:40:25.025,,94720
05/22/26 12:40:30.023,,94840
05/22/26 12:40:35.027,,94950
05/22/26 12:40:40.019,,94840
05/22/26 12:40:45.019,,94950
05/22/26 12:40:50.031,,94600
05/22/26 12:40:55.031,,94950
05/22/26 12:41:00.028,,94720
05/22/26 12:41:05.028,,95190
05/22/26 12:41:10.024,,94720
05/22/26 12:41:15.020,,94370
05/22/26 12:41:20.019,,94600
05/22/26 12:41:25.022,,95420
05/22/26 12:41:30.032,,95420
05/22/26 12:41:35.032,,95070
05/22/26 12:41:40.018,,94720
05/22/26 12:41:45.020,,95540
05/22/26 12:41:50.019,,95540
05/22/26 12:41:55.020,,94950
05/22/26 12:42:00.019,,94840
05/22/26 12:42:05.030,,94720
05/22/26 12:42:10.031,,94600
05/22/26 12:42:15.033,,94720
05/22/26 12:42:20.028,,95540
05/22/26 12:42:25.020,,94720
05/22/26 12:42:30.023,,94950
05/22/26 12:42:35.024,,94720
05/22/26 12:42:40.024,,94600
05/22/26 12:42:45.031,,95070
05/22/26 12:42:50.022,,94600
05/22/26 12:42:55.030,,94490
05/22/26 12:43:00.021,,94840
05/22/26 12:43:05.032,,94950
05/22/26 12:43:10.030,,94950
05/22/26 12:43:15.022,,94720
05/22/26 12:43:20.024,,94720
05/22/26 12:43:25.034,,94840
05/22/26 12:43:30.023,,95190
05/22/26 12:43:35.035,,94950
05/22/26 12:43:40.031,,94950
05/22/26 12:43:45.024,,94950
05/22/26 12:43:50.034,,94950
05/22/26 12:43:55.030,,94950
05/22/26 12:44:00.030,,95670
05/22/26 12:44:05.035,,95540
05/22/26 12:44:10.173,,95540
05/22/26 12:44:15.107,,95920
05/22/26 12:44:20.102,,96170
05/22/26 12:44:25.071,,96040
05/22/26 12:44:30.019,,95670
05/22/26 12:44:35.024,,95310
05/22/26 12:44:40.026,,95310
05/22/26 12:44:45.030,,95310
05/22/26 12:44:50.033,,94840
05/22/26 12:44:55.032,,94720
05/22/26 12:45:00.025,,94720
05/22/26 12:45:05.032,,95420
05/22/26 12:45:10.034,,95310
05/22/26 12:45:15.041,,95420
05/22/26 12:45:20.033,,95670
05/22/26 12:45:25.034,,94950
05/22/26 12:45:30.025,,95070
05/22/26 12:45:35.028,,95070
05/22/26 12:45:40.027,,95660
05/22/26 12:45:45.029,,95070
05/22/26 12:45:50.031,,95070
05/22/26 12:45:55.027,,94840
05/22/26 12:46:00.030,,95420
05/22/26 12:46:05.034,,95910
05/22/26 12:46:10.032,,95660
05/22/26 12:46:15.060,,94950
05/22/26 12:46:20.030,,95190
05/22/26 12:46:25.060,,95540
05/22/26 12:46:30.083,,96030
05/22/26 12:46:35.059,,95420
05/22/26 12:46:40.049,,94950
05/22/26 12:46:45.057,,95190
05/22/26 12:46:50.036,,95660
05/22/26 12:46:55.062,,95420
05/22/26 12:47:00.075,,95670
05/22/26 12:47:05.093,,96030
05/22/26 12:47:10.097,,95540
05/22/26 12:47:15.160,,95910
05/22/26 12:47:20.252,,96280
