Time,,,Concentration
05/20/26 17:29:14.282,,,33700
05/20/26 17:29:31.623,,,33900
05/20/26 17:29:49.017,,,34200
05/20/26 17:30:06.348,,,34500
05/20/26 17:30:23.775,,,34600
05/20/26 17:30:41.158,,,34700
05/20/26 17:30:58.627,,,35100
05/20/26 17:31:16.111,,,35200
05/20/26 17:31:33.714,,,35200
05/20/26 17:31:51.365,,,35400
05/20/26 17:32:08.952,,,35500
05/20/26 17:32:26.653,,,35900
05/20/26 17:32:44.518,,,36200
05/20/26 17:33:02.256,,,36300
05/20/26 17:33:20.058,,,36700
05/20/26 17:33:37.959,,,36600
05/20/26 17:33:55.898,,,37000
05/20/26 17:34:13.799,,,37000
05/20/26 17:34:31.727,,,37300
05/20/26 17:34:49.802,,,37000
05/20/26 17:35:07.759,,,37300
05/20/26 17:35:25.749,,,37900
05/20/26 17:35:43.841,,,37900
05/20/26 17:36:01.872,,,37900
05/20/26 17:36:20.260,,,37900
05/20/26 17:36:38.534,,,38200
05/20/26 17:36:56.818,,,38000
05/20/26 17:37:14.978,,,38100
05/20/26 17:37:33.187,,,38100
05/20/26 17:37:51.308,,,38400
05/20/26 17:38:09.643,,,38300
05/20/26 17:38:28.001,,,38400
05/20/26 17:38:46.241,,,38800
05/20/26 17:39:04.473,,,39000
05/20/26 17:39:22.726,,,39200
05/20/26 17:39:41.179,,,39300
05/20/26 17:39:59.679,,,39000
05/20/26 17:40:18.315,,,39400
05/20/26 17:40:36.852,,,39000
05/20/26 17:40:55.396,,,39300
05/20/26 17:41:14.029,,,39600
05/20/26 17:41:32.740,,,39600
05/20/26 17:41:51.529,,,39600
05/20/26 17:42:10.244,,,39600
05/20/26 17:42:29.022,,,40100
05/20/26 17:42:47.807,,,39800
05/20/26 17:43:06.615,,,40100
05/20/26 17:43:25.393,,,40100
05/20/26 17:43:44.251,,,40400
05/20/26 17:44:03.114,,,40400
05/20/26 17:44:22.099,,,40800
05/20/26 17:44:41.134,,,40900
05/20/26 17:45:00.244,,,40500
05/20/26 17:45:19.445,,,40800
05/20/26 17:45:38.582,,,40900
05/20/26 17:45:57.736,,,40700
05/20/26 17:46:16.938,,,40900
05/20/26 17:46:36.240,,,41100
05/20/26 17:46:55.456,,,40800
05/20/26 17:47:14.794,,,41100
05/20/26 17:47:33.961,,,41300
05/20/26 17:47:53.335,,,41100
05/20/26 17:48:12.745,,,41300
05/20/26 17:48:32.162,,,41300
05/20/26 17:48:51.582,,,41500
05/20/26 17:49:10.956,,,41800
05/20/26 17:49:30.397,,,41600
05/20/26 17:49:50.040,,,41900
05/20/26 17:50:09.466,,,41500
05/20/26 17:50:29.078,,,41900
05/20/26 17:50:48.688,,,41900
05/20/26 17:51:08.403,,,42100
05/20/26 17:51:28.158,,,41900
05/20/26 17:51:47.947,,,42000
05/20/26 17:52:07.746,,,42200
05/20/26 17:52:27.473,,,42100
05/20/26 17:52:47.256,,,42000
05/20/26 17:53:07.053,,,42300
05/20/26 17:53:26.897,,,42100
05/20/26 17:53:46.742,,,42300
05/20/26 17:54:06.664,,,42600
05/20/26 17:54:26.707,,,42900
05/20/26 17:54:46.899,,,42400
05/20/26 17:55:07.158,,,42800
05/20/26 17:55:27.325,,,42400
05/20/26 17:55:47.501,,,42800
05/20/26 17:56:07.712,,,42500
05/20/26 17:56:27.962,,,42700
05/20/26 17:56:48.242,,,42800
05/20/26 17:57:08.435,,,42900
05/20/26 17:57:28.740,,,43000
05/20/26 17:57:49.128,,,43000
05/20/26 17:58:09.650,,,43200
05/20/26 17:58:30.035,,,43000
05/20/26 17:58:50.439,,,43000
05/20/26 17:59:10.883,,,43000
05/20/26 17:59:31.463,,,43200
05/20/26 17:59:52.100,,,43300
05/20/26 18:00:12.722,,,43200
05/20/26 18:00:33.347,,,43700
05/20/26 18:00:53.950,,,43500
05/20/26 18:01:14.799,,,43800
05/20/26 18:01:35.619,,,43300
05/20/26 18:01:56.421,,,43600
05/20/26 18:02:17.281,,,43500
05/20/26 18:02:38.206,,,43800
05/20/26 18:02:59.172,,,43800
05/20/26 18:03:20.034,,,44000
05/20/26 18:03:41.084,,,43800
05/20/26 18:04:02.130,,,43800
05/20/26 18:04:23.239,,,44200
05/20/26 18:04:44.398,,,43900
05/20/26 18:05:05.584,,,44100
05/20/26 18:05:26.877,,,43800
05/20/26 18:05:48.207,,,43900
05/20/26 18:06:09.507,,,44300
05/20/26 18:06:30.829,,,44300
05/20/26 18:06:52.127,,,44400
05/20/26 18:07:13.530,,,44500
05/20/26 18:07:35.149,,,44200
05/20/26 18:07:56.715,,,44100
05/20/26 18:08:18.269,,,44400
05/20/26 18:08:39.819,,,44300
05/20/26 18:09:01.340,,,44500
05/20/26 18:09:22.895,,,44300
05/20/26 18:09:44.430,,,44500
05/20/26 18:10:06.036,,,44600
05/20/26 18:10:27.710,,,44600
05/20/26 18:10:49.352,,,44100
05/20/26 18:11:11.016,,,44400
05/20/26 18:11:32.756,,,44200
05/20/26 18:11:54.346,,,44500
05/20/26 18:12:15.996,,,44600
05/20/26 18:12:37.715,,,44800
05/20/26 18:12:59.539,,,44600
05/20/26 18:13:21.466,,,44500
05/20/26 18:13:43.433,,,44800
05/20/26 18:14:05.441,,,44900
05/20/26 18:14:27.474,,,45100
05/20/26 18:14:49.611,,,45000
05/20/26 18:15:11.726,,,44900
05/20/26 18:15:33.994,,,45000
05/20/26 18:15:56.234,,,45000
05/20/26 18:16:18.486,,,44800
05/20/26 18:16:40.820,,,45000
05/20/26 18:17:03.211,,,45200
05/20/26 18:17:25.569,,,44800
05/20/26 18:17:48.117,,,45000
05/20/26 18:18:10.569,,,45000
05/20/26 18:18:33.175,,,44900
05/20/26 18:18:55.650,,,45000
05/20/26 18:19:18.227,,,44800
05/20/26 18:19:40.771,,,45500
05/20/26 18:20:03.205,,,45300
05/20/26 18:20:25.873,,,45500
05/20/26 18:20:48.598,,,45500
05/20/26 18:21:11.340,,,45300
05/20/26 18:21:34.097,,,45500
05/20/26 18:21:57.003,,,45400
05/20/26 18:22:19.848,,,45200
05/20/26 18:22:42.878,,,45400
05/20/26 18:23:05.957,,,45500
05/20/26 18:23:28.986,,,45700
05/20/26 18:23:52.141,,,45700
05/20/26 18:24:15.358,,,45500
05/20/26 18:24:38.704,,,45800
05/20/26 18:25:01.875,,,45400
05/20/26 18:25:25.087,,,45700
05/20/26 18:25:48.345,,,45500
05/20/26 18:26:11.552,,,45800
05/20/26 18:26:34.864,,,45400
05/20/26 18:26:58.227,,,45500
05/20/26 18:27:21.625,,,45800
05/20/26 18:27:45.019,,,46100
05/20/26 18:28:08.448,,,45900
05/20/26 18:28:32.054,,,45800
05/20/26 18:28:55.573,,,45800
05/20/26 18:29:19.203,,,45300
05/20/26 18:29:43.071,,,45700
05/20/26 18:30:06.862,,,45800
05/20/26 18:30:30.643,,,45800
05/20/26 18:30:54.425,,,45600
05/20/26 18:31:18.186,,,45500
05/20/26 18:31:42.123,,,45900
05/20/26 18:32:06.029,,,45900
05/20/26 18:32:30.117,,,45900
05/20/26 18:32:54.301,,,46100
05/20/26 18:33:18.427,,,45900
05/20/26 18:33:42.576,,,46100
05/20/26 18:34:06.739,,,46200
05/20/26 18:34:30.926,,,46300
05/20/26 18:34:55.247,,,46300
05/20/26 18:35:19.472,,,46400
05/20/26 18:35:43.782,,,45900
05/20/26 18:36:08.166,,,46100
05/20/26 18:36:32.617,,,46500
05/20/26 18:36:57.032,,,46300
05/20/26 18:37:21.475,,,46300
05/20/26 18:37:45.982,,,46100
05/20/26 18:38:10.657,,,46000
05/20/26 18:38:35.320,,,46100
05/20/26 18:39:00.037,,,45900
05/20/26 18:39:24.888,,,46300
05/20/26 18:39:49.772,,,46300
05/20/26 18:40:14.540,,,46300
05/20/26 18:40:39.383,,,46300
05/20/26 18:41:04.189,,,46300
05/20/26 18:41:29.069,,,46300
05/20/26 18:41:54.001,,,46300
05/20/26 18:42:18.928,,,46300
05/20/26 18:42:44.026,,,46100
05/20/26 18:43:09.128,,,46000
05/20/26 18:43:34.412,,,46600
05/20/26 18:43:59.627,,,46800
05/20/26 18:44:24.904,,,46200
05/20/26 18:44:50.407,,,46700
05/20/26 18:45:15.844,,,47000
05/20/26 18:45:41.240,,,46600
05/20/26 18:46:06.874,,,46800
05/20/26 18:46:32.398,,,46700
05/20/26 18:46:58.139,,,46800
05/20/26 18:47:23.807,,,46500
05/20/26 18:47:49.427,,,46800
05/20/26 18:48:15.192,,,46700
05/20/26 18:48:40.949,,,46600
05/20/26 18:49:06.753,,,46900
05/20/26 18:49:32.610,,,46400
05/20/26 18:49:58.497,,,46800
05/20/26 18:50:24.394,,,46800
05/20/26 18:50:50.442,,,46700
05/20/26 18:51:16.402,,,47100
05/20/26 18:51:42.343,,,46500
05/20/26 18:52:08.336,,,47000
05/20/26 18:52:34.439,,,46700
05/20/26 18:53:00.623,,,46600
05/20/26 18:53:26.903,,,46700
05/20/26 18:53:53.058,,,46700
05/20/26 18:54:19.326,,,46700
05/20/26 18:54:45.631,,,46700
05/20/26 18:55:11.948,,,46900
05/20/26 18:55:38.275,,,47000
05/20/26 18:56:04.777,,,46300
05/20/26 18:56:31.332,,,47200
05/20/26 18:56:57.847,,,46900
05/20/26 18:57:24.428,,,47100
05/20/26 18:57:51.095,,,47000
05/20/26 18:58:17.822,,,47100
05/20/26 18:58:44.517,,,46700
05/20/26 18:59:11.274,,,46800
05/20/26 18:59:38.018,,,46900
05/20/26 19:00:04.720,,,47200
05/20/26 19:00:31.715,,,47200
05/20/26 19:00:58.632,,,47000
05/20/26 19:01:25.528,,,47100
05/20/26 19:01:52.572,,,47000
05/20/26 19:02:19.708,,,46800
05/20/26 19:02:46.755,,,46900
05/20/26 19:03:13.747,,,47100
05/20/26 19:03:40.893,,,47200
05/20/26 19:04:08.114,,,47200
05/20/26 19:04:35.318,,,46800
05/20/26 19:05:02.539,,,46900
05/20/26 19:05:29.795,,,47500
05/20/26 19:05:57.097,,,47200
05/20/26 19:06:24.448,,,47200
05/20/26 19:06:51.825,,,47300
05/20/26 19:07:19.193,,,47500
05/20/26 19:07:46.807,,,47400
05/20/26 19:08:14.332,,,47300
05/20/26 19:08:41.989,,,46900
05/20/26 19:09:10.033,,,47600
05/20/26 19:09:37.369,,,47300
05/20/26 19:10:04.742,,,47100
05/20/26 19:10:32.335,,,47200
05/20/26 19:10:59.929,,,47300
05/20/26 19:11:27.580,,,47700
05/20/26 19:11:55.562,,,47300
05/20/26 19:12:23.435,,,47400
05/20/26 19:12:51.313,,,47200
05/20/26 19:13:19.217,,,47100
05/20/26 19:13:47.371,,,47000
05/20/26 19:14:15.426,,,47200
05/20/26 19:14:43.660,,,47400
05/20/26 19:15:11.834,,,47100
05/20/26 19:15:40.072,,,47300
05/20/26 19:16:08.309,,,47300
05/20/26 19:16:36.550,,,47600
05/20/26 19:17:04.814,,,47300
05/20/26 19:17:33.199,,,47200
05/20/26 19:18:01.616,,,46800
05/20/26 19:18:29.975,,,47400
05/20/26 19:18:58.366,,,47100
05/20/26 19:19:26.757,,,47500
05/20/26 19:19:55.285,,,47700
05/20/26 19:20:23.936,,,47300
05/20/26 19:20:52.641,,,47200
05/20/26 19:21:21.276,,,47300
05/20/26 19:21:49.995,,,47200
05/20/26 19:22:18.815,,,47500
05/20/26 19:22:47.456,,,47600
05/20/26 19:23:16.357,,,47700
05/20/26 19:23:45.210,,,47700
05/20/26 19:24:14.023,,,47300
05/20/26 19:24:42.920,,,47200
05/20/26 19:25:11.900,,,47500
05/20/26 19:25:40.945,,,47600
05/20/26 19:26:09.931,,,47700
05/20/26 19:26:39.020,,,47700
05/20/26 19:27:08.224,,,47100
05/20/26 19:27:37.291,,,47500
05/20/26 19:28:06.395,,,47400
05/20/26 19:28:35.629,,,47300
05/20/26 19:29:04.862,,,47700
05/20/26 19:29:34.156,,,47600
05/20/26 19:30:03.484,,,47500
05/20/26 19:30:32.912,,,47300
05/20/26 19:31:02.330,,,47200
05/20/26 19:31:31.682,,,47700
05/20/26 19:32:01.104,,,47700
05/20/26 19:32:30.626,,,47600
05/20/26 19:33:00.180,,,47800
05/20/26 19:33:29.647,,,47700
05/20/26 19:33:59.226,,,47800
05/20/26 19:34:28.899,,,47800
05/20/26 19:34:58.443,,,47800
05/20/26 19:35:28.179,,,47600
05/20/26 19:35:57.980,,,47600
05/20/26 19:36:27.798,,,47900
