,sensor [Auto],,,
07/17/26 14:22:04.272,0,1015,26.5,43.9
07/17/26 14:22:09.273,0,1015,26.5,44
07/17/26 14:22:14.273,0,1015,26.5,43.9
07/17/26 14:22:19.272,0,1015,26.5,43.9
07/17/26 14:22:24.273,0,1015,26.5,43.9
07/17/26 14:22:29.273,0,1015,26.5,44
07/17/26 14:22:34.273,0,1015,26.5,43.9
07/17/26 14:22:39.273,0,1015,26.5,44
07/17/26 14:22:44.273,0,1015,26.5,44
07/17/26 14:22:49.273,0,1015,26.5,44
07/17/26 14:22:54.273,0,1015,26.5,44
07/17/26 14:22:59.273,0,1015,26.5,44
07/17/26 14:23:04.273,0,1015,26.5,44
07/17/26 14:23:09.273,0,1015,26.5,44
07/17/26 14:23:14.274,0,1015,26.5,44
07/17/26 14:23:19.274,0,1015,26.5,44.1
07/17/26 14:23:24.274,0,1015,26.6,44.1
07/17/26 14:23:29.274,0,1015,26.6,44.1
07/17/26 14:23:34.274,0,1015,26.6,44.1
07/17/26 14:23:39.274,0,1015,26.6,44.1
07/17/26 14:23:44.274,0,1015,26.6,44
07/17/26 14:23:49.273,0,1015,26.6,44
07/17/26 14:23:54.274,0,1015,26.6,44
07/17/26 14:23:59.274,0,1015,26.6,44.1
07/17/26 14:24:04.274,0,1015,26.6,44.1
07/17/26 14:24:09.274,0,1014,26.6,44
07/17/26 14:24:14.274,0,1014,26.6,44.1
07/17/26 14:24:19.274,0,1015,26.6,44.1
07/17/26 14:24:24.274,0,1014,26.6,44.1
07/17/26 14:24:29.274,0,1014,26.6,44.1
07/17/26 14:24:34.274,0,1014,26.5,44.1
07/17/26 14:24:39.275,0,1014,26.6,44
07/17/26 14:24:44.274,0,1014,26.6,44
07/17/26 14:24:49.275,0,1014,26.6,44
07/17/26 14:24:54.274,0,1014,26.6,44
07/17/26 14:24:59.275,0,1014,26.6,44
07/17/26 14:25:04.858,0,1014,26.6,44
07/17/26 14:25:10.921,0,1014,26.6,44
07/17/26 14:25:15.240,0,1014,26.6,44
07/17/26 14:25:19.503,0,1014,26.6,44
07/17/26 14:25:24.275,0,1014,26.6,44
07/17/26 14:25:29.883,0,1014,26.6,44.1
07/17/26 14:25:34.753,0,1014,26.6,44
07/17/26 14:25:39.275,0,1014,26.6,44
07/17/26 14:25:44.275,0,1014,26.6,44
07/17/26 14:25:49.275,690,1014,26.6,44
07/17/26 14:25:54.275,1640,1014,26.6,44
07/17/26 14:25:59.275,7770,1014,26.6,43.9
07/17/26 14:26:04.275,10880,1014,26.6,44
07/17/26 14:26:09.275,8990,1014,26.6,44.1
07/17/26 14:26:15.117,5910,1014,26.6,44.1
07/17/26 14:26:19.561,3920,1014,26.6,44.2
07/17/26 14:26:24.275,2520,1014,26.6,44.2
07/17/26 14:26:29.276,1570,1014,26.6,44.1
07/17/26 14:26:34.276,940,1014,26.6,44
07/17/26 14:26:39.276,590,1014,26.6,44
07/17/26 14:26:44.275,360,1014,26.6,44
07/17/26 14:26:49.275,290,1014,26.6,44
07/17/26 14:26:54.275,200,1014,26.6,44.1
07/17/26 14:26:59.276,140,1014,26.6,44.1
07/17/26 14:27:04.275,110,1014,26.6,44
07/17/26 14:27:09.353,60,1014,26.6,44
07/17/26 14:27:14.468,40,1014,26.6,44
07/17/26 14:27:19.687,10,1014,26.6,44.1
07/17/26 14:27:24.935,10,1014,26.6,44.1
07/17/26 14:27:30.402,20,1014,26.6,44
07/17/26 14:27:35.930,0,1014,26.6,44
07/17/26 14:27:41.577,0,1014,26.6,44
07/17/26 14:27:47.288,0,1014,26.6,44
07/17/26 14:27:53.159,0,1014,26.6,44
07/17/26 14:27:59.157,0,1014,26.6,44
07/17/26 14:28:05.355,0,1014,26.6,44
07/17/26 14:28:11.463,0,1014,26.6,44.1
07/17/26 14:28:17.671,0,1014,26.6,44.1
07/17/26 14:28:23.914,0,1014,26.6,44.1
07/17/26 14:28:30.224,0,1014,26.6,44.2
07/17/26 14:28:36.550,0,1014,26.6,44.1
07/17/26 14:28:42.808,0,1014,26.6,44
07/17/26 14:28:49.129,0,1014,26.7,44
07/17/26 14:28:55.504,0,1014,26.7,44
07/17/26 14:29:01.996,0,1014,26.7,44
07/17/26 14:29:08.448,0,1014,26.7,44.1
07/17/26 14:29:14.965,0,1014,26.7,44.1
07/17/26 14:29:21.468,0,1014,26.7,44.1
07/17/26 14:29:28.014,0,1014,26.7,44
07/17/26 14:29:34.616,0,1014,26.7,44
07/17/26 14:29:41.339,0,1014,26.7,44.1
07/17/26 14:29:48.405,0,1014,26.6,44.1
07/17/26 14:29:55.587,0,1014,26.6,44.1
07/17/26 14:30:02.838,0,1014,26.6,44.1
07/17/26 14:30:10.071,0,1014,26.6,44.1
07/17/26 14:30:17.406,0,1014,26.6,44.1
07/17/26 14:30:24.647,0,1014,26.6,44.2
07/17/26 14:30:31.990,0,1014,26.6,44.3
07/17/26 14:30:39.266,0,1014,26.6,44.2
07/17/26 14:30:46.612,0,1014,26.6,44.3
07/17/26 14:30:54.032,0,1014,26.6,44.3
07/17/26 14:31:01.488,0,1014,26.6,44.3
07/17/26 14:31:08.951,0,1014,26.6,44.3
07/17/26 14:31:16.537,0,1014,26.6,44.2
07/17/26 14:31:24.111,0,1014,26.6,44.2
07/17/26 14:31:31.717,0,1014,26.6,44.1
07/17/26 14:31:39.254,0,1014,26.6,44.1
07/17/26 14:31:46.969,0,1014,26.6,44.2
07/17/26 14:31:54.606,0,1014,26.6,44.3
07/17/26 14:32:02.362,0,1014,26.6,44.3
07/17/26 14:32:10.076,0,1014,26.6,44.3
07/17/26 14:32:17.951,0,1014,26.6,44.4
07/17/26 14:32:25.718,0,1014,26.6,44.4
07/17/26 14:32:33.770,0,1014,26.6,44.4
07/17/26 14:32:41.785,0,1014,26.6,44.4
07/17/26 14:32:49.871,0,1014,26.6,44.5
07/17/26 14:32:56.762,0,1014,26.6,44.5
07/17/26 14:33:02.778,0,1014,26.6,44.6
07/17/26 14:33:08.713,0,1014,26.6,44.6
07/17/26 14:33:14.682,0,1014,26.6,44.6
07/17/26 14:33:20.736,0,1014,26.6,44.5
07/17/26 14:33:26.796,0,1014,26.6,44.5
07/17/26 14:33:32.852,0,1014,26.6,44.4
07/17/26 14:33:39.023,0,1014,26.6,44.3
07/17/26 14:33:45.263,0,1014,26.6,44.4
07/17/26 14:33:51.720,0,1014,26.6,44.4
07/17/26 14:33:58.085,0,1014,26.6,44.3
07/17/26 14:34:04.497,0,1014,26.6,44.3
07/17/26 14:34:10.929,0,1014,26.6,44.3
07/17/26 14:34:16.813,0,1014,26.6,44.3
07/17/26 14:34:22.856,0,1014,26.7,44.3
07/17/26 14:34:29.508,0,1014,26.7,44.3
07/17/26 14:34:36.349,0,1014,26.7,44.5
07/17/26 14:34:43.426,0,1014,26.6,44.3
07/17/26 14:34:50.871,0,1014,26.6,44.3
07/17/26 14:34:58.212,0,1014,26.7,44.3
07/17/26 14:35:05.814,0,1014,26.7,44.3
07/17/26 14:35:14.049,0,1014,26.7,44.3
07/17/26 14:35:22.288,0,1014,26.7,44.3
07/17/26 14:35:30.756,0,1014,26.7,44.3
07/17/26 14:35:39.439,0,1014,26.7,44.2
07/17/26 14:35:47.588,0,1014,26.7,44.2
07/17/26 14:35:55.675,0,1014,26.7,44.2
07/17/26 14:36:03.015,0,1014,26.7,44.2
07/17/26 14:36:10.632,0,1014,26.6,44.2
07/17/26 14:36:17.548,0,1014,26.7,44.2
07/17/26 14:36:24.344,0,1014,26.7,44.2
07/17/26 14:36:31.177,0,1014,26.7,44.2
07/17/26 14:36:38.079,0,1014,26.7,44.2
07/17/26 14:36:44.939,0,1014,26.7,44.2
07/17/26 14:36:51.800,0,1014,26.7,44.2
07/17/26 14:36:58.771,0,1014,26.7,44.2
07/17/26 14:37:05.775,0,1014,26.7,44.2
07/17/26 14:37:12.700,0,1014,26.7,44.2
07/17/26 14:37:19.644,0,1014,26.7,44.3
07/17/26 14:37:27.050,0,1014,26.7,44.3
07/17/26 14:37:34.273,0,1014,26.7,44.3
07/17/26 14:37:41.669,0,1014,26.7,44.3
07/17/26 14:37:50.207,0,1014,26.7,44.2
07/17/26 14:37:59.420,0,1014,26.7,44.3
07/17/26 14:38:08.577,0,1014,26.7,44.3
07/17/26 14:38:17.872,10,1014,26.7,44.2
07/17/26 14:38:27.285,50,1014,26.7,44.2
07/17/26 14:38:36.857,60,1014,26.7,44.4
07/17/26 14:38:46.697,80,1014,26.7,44.4
07/17/26 14:38:56.499,110,1014,26.7,44.4
07/17/26 14:39:06.437,120,1014,26.7,44.4
07/17/26 14:39:16.302,180,1014,26.7,44.4
07/17/26 14:39:26.194,200,1014,26.7,44.5
07/17/26 14:39:36.133,190,1014,26.7,44.5
07/17/26 14:39:46.077,220,1014,26.7,44.4
07/17/26 14:39:56.190,250,1014,26.7,44.4
07/17/26 14:40:06.340,240,1014,26.7,44.3
07/17/26 14:40:16.188,290,1014,26.8,44.3
07/17/26 14:40:26.230,300,1014,26.8,44.3
07/17/26 14:40:36.474,300,1014,26.8,44.3
07/17/26 14:40:46.661,350,1014,26.8,44.5
07/17/26 14:40:56.885,490,1014,26.8,44.4
07/17/26 14:41:07.163,530,1014,26.7,44.3
07/17/26 14:41:17.655,600,1014,26.7,44.3
07/17/26 14:41:28.122,770,1014,26.8,44.3
07/17/26 14:41:38.676,390,1014,26.8,44.2
07/17/26 14:41:49.167,10,1014,26.8,44.2
07/17/26 14:42:00.059,0,1014,26.7,44.3
07/17/26 14:42:10.646,0,1014,26.7,44.3
07/17/26 14:42:21.401,0,1014,26.7,44.3
07/17/26 14:42:32.368,0,1014,26.8,44.3
07/17/26 14:42:43.115,0,1014,26.8,44.3
07/17/26 14:42:53.931,0,1014,26.8,44.3
07/17/26 14:43:04.463,0,1014,26.8,44.3
07/17/26 14:43:15.245,0,1014,26.8,44.4
07/17/26 14:43:26.262,0,1014,26.8,44.5
07/17/26 14:43:37.032,0,1014,26.8,44.6
07/17/26 14:43:47.921,0,1014,26.8,44.4
07/17/26 14:43:58.900,0,1014,26.8,44.5
07/17/26 14:44:09.709,0,1014,26.7,44.6
07/17/26 14:44:20.546,0,1014,26.7,44.6
07/17/26 14:44:31.426,0,1014,26.8,44.5
07/17/26 14:44:42.447,0,1014,26.7,44.4
07/17/26 14:44:53.583,0,1014,26.7,44.5
07/17/26 14:45:06.152,0,1014,26.7,44.6
07/17/26 14:45:17.824,0,1014,26.7,44.5
07/17/26 14:45:28.980,0,1014,26.7,44.6
07/17/26 14:45:40.227,0,1014,26.7,44.6
07/17/26 14:45:51.508,0,1014,26.7,44.6
07/17/26 14:46:02.814,0,1014,26.7,44.7
07/17/26 14:46:14.204,0,1014,26.7,44.7
07/17/26 14:46:25.480,0,1014,26.8,44.6
07/17/26 14:46:36.691,0,1014,26.7,44.7
07/17/26 14:46:48.012,0,1014,26.7,44.8
07/17/26 14:46:59.368,0,1014,26.7,44.6
07/17/26 14:47:10.827,0,1014,26.8,44.6
07/17/26 14:47:22.557,0,1014,26.8,44.5
07/17/26 14:47:34.051,0,1014,26.8,44.5
07/17/26 14:47:45.698,0,1014,26.8,44.4
07/17/26 14:47:57.126,0,1014,26.8,44.4
07/17/26 14:48:08.679,0,1014,26.8,44.4
07/17/26 14:48:20.259,0,1014,26.8,44.3
07/17/26 14:48:31.812,0,1014,26.8,44.4
07/17/26 14:48:43.476,0,1014,26.8,44.4
07/17/26 14:48:55.191,0,1014,26.8,44.4
07/17/26 14:49:06.859,0,1014,26.8,44.5
07/17/26 14:49:18.639,0,1014,26.8,44.7
07/17/26 14:49:30.499,0,1014,26.8,44.7
07/17/26 14:49:42.193,0,1014,26.8,44.7
07/17/26 14:49:54.016,0,1014,26.8,44.9
07/17/26 14:50:06.174,0,1014,26.7,45
07/17/26 14:50:16.133,0,1014,26.7,45.4
07/17/26 14:50:24.930,0,1014,26.7,44.7
07/17/26 14:50:33.724,0,1014,26.7,44.8
07/17/26 14:50:42.168,0,1014,26.7,44.8
07/17/26 14:50:49.413,0,1014,26.7,44.8
07/17/26 14:50:56.930,0,1014,26.7,44.8
07/17/26 14:51:04.530,0,1014,26.7,44.7
07/17/26 14:51:12.274,0,1014,26.7,44.7
07/17/26 14:51:20.121,0,1014,26.7,44.7
07/17/26 14:51:28.074,0,1014,26.8,44.8
07/17/26 14:51:36.233,0,1014,26.7,44.8
07/17/26 14:51:44.567,0,1014,26.7,44.7
07/17/26 14:51:53.037,0,1014,26.7,44.8
07/17/26 14:52:01.760,0,1014,26.7,45.5
07/17/26 14:52:10.660,0,1014,26.8,45.4
07/17/26 14:52:19.852,0,1014,26.8,45
07/17/26 14:52:29.400,0,1014,26.8,45.3
07/17/26 14:52:39.076,0,1014,26.8,45.1
07/17/26 14:52:48.794,0,1014,26.8,45.1
07/17/26 14:52:58.570,0,1014,26.8,44.8
07/17/26 14:53:08.469,0,1014,26.8,44.7
07/17/26 14:53:18.276,0,1014,26.8,44.8
07/17/26 14:53:28.089,0,1014,26.8,44.7
07/17/26 14:53:37.876,0,1014,26.8,44.7
07/17/26 14:53:47.681,0,1014,26.8,44.7
07/17/26 14:53:57.539,0,1014,26.8,44.7
07/17/26 14:54:07.464,0,1014,26.8,44.7
07/17/26 14:54:17.434,0,1014,26.8,44.5
07/17/26 14:54:27.409,0,1014,26.8,44.5
07/17/26 14:54:37.414,0,1014,26.8,44.4
07/17/26 14:54:47.798,0,1014,26.8,44.6
07/17/26 14:54:57.789,0,1014,26.8,44.6
07/17/26 14:55:08.001,0,1014,26.8,44.7
07/17/26 14:55:18.460,0,1014,26.8,44.7
07/17/26 14:55:28.565,0,1014,26.8,44.6
07/17/26 14:55:38.796,0,1014,26.8,44.6
07/17/26 14:55:48.978,0,1014,26.8,44.7
07/17/26 14:55:59.096,0,1014,26.8,44.7
07/17/26 14:56:10.377,0,1014,26.8,44.6
07/17/26 14:56:21.667,0,1014,26.8,44.9
07/17/26 14:56:31.200,0,1014,26.8,44.7
07/17/26 14:56:40.921,0,1014,26.8,44.8
07/17/26 14:56:51.007,0,1014,26.8,44.8
07/17/26 14:57:01.247,0,1014,26.8,44.7
07/17/26 14:57:11.595,0,1014,26.8,44.7
07/17/26 14:57:22.143,0,1014,26.8,44.8
07/17/26 14:57:33.124,0,1014,26.8,44.6
07/17/26 14:57:44.403,0,1014,26.8,44.7
07/17/26 14:57:55.222,0,1014,26.8,44.7
07/17/26 14:58:08.103,0,1014,26.8,44.7
07/17/26 14:58:19.309,0,1014,26.8,44.8
07/17/26 14:58:30.522,0,1014,26.8,44.9
07/17/26 14:58:42.989,0,1014,26.9,44.9
07/17/26 14:58:54.330,0,1014,26.8,44.8
07/17/26 14:59:06.038,0,1014,26.8,44.6
07/17/26 14:59:18.399,0,1014,26.9,44.7
07/17/26 14:59:31.373,0,1014,26.9,44.6
07/17/26 14:59:45.075,0,1014,26.9,44.6
07/17/26 14:59:58.868,0,1014,26.9,44.6
07/17/26 15:00:12.734,0,1014,26.9,44.6
07/17/26 15:00:26.443,0,1014,26.9,44.7
07/17/26 15:00:40.218,0,1014,26.9,44.6
07/17/26 15:00:54.161,0,1014,26.9,44.6
07/17/26 15:01:08.108,0,1014,26.8,44.7
07/17/26 15:01:22.111,0,1014,26.9,44.6
07/17/26 15:01:36.136,0,1014,26.9,44.6
07/17/26 15:01:50.213,0,1014,26.9,44.5
07/17/26 15:02:04.311,0,1014,26.9,44.8
07/17/26 15:02:18.287,0,1014,26.9,44.6
07/17/26 15:02:32.634,0,1014,26.8,44.6
07/17/26 15:02:46.800,0,1014,26.9,44.7
07/17/26 15:03:00.838,0,1014,26.9,44.5
07/17/26 15:03:15.144,0,1014,26.9,44.5
07/17/26 15:03:29.471,0,1014,26.9,44.5
07/17/26 15:03:42.100,0,1014,26.9,44.5
07/17/26 15:03:53.396,0,1014,26.9,44.5
07/17/26 15:04:02.973,0,1014,26.9,44.5
07/17/26 15:04:12.539,0,1014,26.9,44.5
07/17/26 15:04:22.374,0,1014,26.9,44.5
07/17/26 15:04:32.450,0,1014,26.9,44.5
07/17/26 15:04:42.937,0,1014,26.9,44.5
07/17/26 15:04:53.755,0,1014,26.8,44.5
07/17/26 15:05:05.023,0,1014,26.9,44.5
07/17/26 15:05:16.880,0,1014,26.8,44.4
07/17/26 15:05:28.211,0,1014,26.9,44.4
07/17/26 15:05:39.695,0,1014,26.8,44.5
07/17/26 15:05:51.125,0,1014,26.8,44.5
07/17/26 15:06:02.514,0,1014,26.8,44.6
07/17/26 15:06:14.021,0,1014,26.8,44.7
07/17/26 15:06:25.565,0,1014,26.8,44.6
07/17/26 15:06:39.851,0,1014,26.9,44.5
07/17/26 15:06:53.014,0,1014,26.8,44.5
07/17/26 15:07:06.119,0,1014,26.9,44.6
07/17/26 15:07:19.157,0,1014,26.9,44.6
07/17/26 15:07:32.257,0,1014,26.9,44.5
07/17/26 15:07:45.253,0,1014,26.9,44.5
07/17/26 15:07:58.360,0,1014,26.9,44.5
07/17/26 15:08:11.524,0,1014,26.8,44.5
07/17/26 15:08:24.767,10,1014,26.9,44.4
07/17/26 15:08:38.016,0,1014,26.9,44.5
07/17/26 15:08:51.239,30,1014,26.9,44.4
07/17/26 15:09:04.763,10,1014,26.8,44.5
07/17/26 15:09:17.169,60,1014,26.9,44.5
07/17/26 15:09:27.047,50,1014,26.9,44.4
07/17/26 15:09:37.810,30,1014,26.9,44.4
07/17/26 15:09:48.933,50,1014,26.8,44.5
07/17/26 15:10:00.244,80,1014,26.9,44.5
07/17/26 15:10:12.082,90,1014,26.9,44.4
07/17/26 15:10:24.410,110,1014,26.9,44.5
07/17/26 15:10:37.187,140,1014,26.9,44.4
07/17/26 15:10:50.954,140,1014,26.9,44.5
07/17/26 15:11:03.422,160,1013,26.9,44.5
07/17/26 15:11:15.262,170,1013,26.9,44.4
07/17/26 15:11:27.532,200,1014,26.9,44.5
07/17/26 15:11:40.447,220,1014,26.9,44.4
07/17/26 15:11:54.382,250,1014,26.9,44.3
07/17/26 15:12:06.627,230,1013,27,44.3
07/17/26 15:12:18.603,260,1013,27,44.3
07/17/26 15:12:31.076,270,1013,26.9,44.4
07/17/26 15:12:44.164,320,1013,26.9,44.4
07/17/26 15:12:57.828,280,1013,26.9,44.4
07/17/26 15:13:11.798,320,1014,26.9,44.3
07/17/26 15:13:25.905,310,1013,27,44.4
07/17/26 15:13:40.063,320,1014,27,44.4
07/17/26 15:13:54.192,370,1013,27,44.3
07/17/26 15:14:08.298,23310,1013,27,44.5
07/17/26 15:14:22.547,200010,1013,27,44.3
07/17/26 15:14:36.741,200010,1013,27,44.3
07/17/26 15:14:51.216,200010,1014,27,44.4
07/17/26 15:15:05.506,200010,1013,27,44.2
07/17/26 15:15:20.277,200010,1013,27,44.4
07/17/26 15:15:34.700,200010,1013,27,44.4
07/17/26 15:15:49.054,200010,1013,27,44.3
07/17/26 15:16:03.491,188620,1013,27,44.3
07/17/26 15:16:17.956,165100,1013,27,44.3
07/17/26 15:16:32.492,156090,1013,27,44.4
07/17/26 15:16:47.117,152600,1013,27,44.4
07/17/26 15:17:01.791,151140,1013,27,44.4
07/17/26 15:17:16.415,149490,1013,27,44.3
07/17/26 15:17:31.195,147430,1013,27,44.3
07/17/26 15:17:45.913,146390,1013,27,44.3
07/17/26 15:18:00.670,145390,1013,27,44.4
07/17/26 15:18:15.470,145780,1013,27,44.6
07/17/26 15:18:30.382,145590,1013,27,44.5
07/17/26 15:18:45.272,146400,1013,27,44.5
07/17/26 15:19:00.295,145000,1013,27,44.6
07/17/26 15:19:15.328,145590,1013,27,44.4
07/17/26 15:19:30.416,145000,1013,27,44.4
07/17/26 15:19:45.539,145390,1013,27,44.5
07/17/26 15:20:00.726,145590,1013,27,44.5
07/17/26 15:20:16.099,145000,1013,27,44.5
07/17/26 15:20:31.366,144800,1013,27,44.6
07/17/26 15:20:46.759,82410,1013,27.1,44.6
07/17/26 15:21:01.974,20230,1013,27.1,44.4
07/17/26 15:21:17.308,6650,1013,27.1,44.4
07/17/26 15:21:32.699,3490,1013,27.1,44.4
07/17/26 15:21:48.102,2310,1013,27.1,44.4
07/17/26 15:22:03.592,1710,1013,27.1,44.6
07/17/26 15:22:19.624,1290,1013,27.1,44.6
07/17/26 15:22:33.591,1070,1013,27.1,44.5
07/17/26 15:22:46.091,930,1013,27.1,44.5
07/17/26 15:22:59.345,790,1013,27,44.5
07/17/26 15:23:12.646,680,1013,27,44.5
07/17/26 15:23:25.329,590,1013,27.1,44.4
07/17/26 15:23:35.431,560,1013,27.1,44.5
07/17/26 15:23:45.890,500,1013,27.1,44.5
07/17/26 15:23:58.233,460,1013,27.1,44.4
07/17/26 15:24:10.814,450,1013,27.1,44.3
07/17/26 15:24:23.385,430,1013,27.1,44.4
07/17/26 15:24:35.933,390,1013,27,44.3
07/17/26 15:24:48.475,390,1013,27.1,44.5
07/17/26 15:25:01.114,330,1013,27.1,44.4
07/17/26 15:25:14.371,300,1013,27,44.4
07/17/26 15:25:27.116,310,1013,27,44.4
07/17/26 15:25:39.817,280,1013,27.1,44.4
07/17/26 15:25:52.532,250,1013,27.1,44.3
07/17/26 15:26:05.657,240,1013,27.1,44.3
07/17/26 15:26:19.116,250,1013,27.1,44.3
07/17/26 15:26:29.559,220,1013,27.1,44.3
07/17/26 15:26:39.925,180,1013,27.1,44.3
07/17/26 15:26:50.260,210,1013,27.1,44.3
07/17/26 15:27:00.688,180,1013,27.1,44.3
07/17/26 15:27:11.828,170,1013,27.1,44.3
07/17/26 15:27:23.603,170,1013,27.1,44.2
07/17/26 15:27:35.803,160,1013,27.1,44.3
07/17/26 15:27:48.249,140,1013,27.1,44.3
07/17/26 15:28:01.122,160,1013,27.1,44.3
07/17/26 15:28:14.423,130,1013,27.1,44.2
07/17/26 15:28:27.558,160,1013,27.1,44.2
07/17/26 15:28:40.671,160,1013,27.1,44.2
07/17/26 15:28:54.133,120,1013,27.1,44.3
07/17/26 15:29:06.024,130,1013,27.1,44.5
07/17/26 15:29:18.250,130,1013,27,44.5
07/17/26 15:29:30.928,110,1013,27,44.6
07/17/26 15:29:44.043,80,1013,27,44.6
07/17/26 15:29:57.349,120,1013,27,44.7
07/17/26 15:30:10.653,130,1013,27.1,44.5
07/17/26 15:30:23.993,120,1013,27.1,44.5
07/17/26 15:30:37.377,120,1013,27.1,44.6
07/17/26 15:30:50.808,110,1013,27,44.5
07/17/26 15:31:04.235,120,1013,27.1,44.5
07/17/26 15:31:17.654,110,1013,27.1,44.5
07/17/26 15:31:31.508,110,1013,27.1,44.6
07/17/26 15:31:44.119,120,1013,27.1,44.6
07/17/26 15:31:57.267,90,1013,27.1,44.7
07/17/26 15:32:08.232,100,1013,27.1,44.5
07/17/26 15:32:19.161,110,1013,27.1,44.4
07/17/26 15:32:30.477,70,1013,27.1,44.4
07/17/26 15:32:42.263,70,1013,27.1,44.4
07/17/26 15:32:54.503,70,1013,27.1,44.3
07/17/26 15:33:06.822,100,1013,27.1,44.3
07/17/26 15:33:19.527,90,1013,27.1,44.4
07/17/26 15:33:32.688,50,1013,27.1,44.4
07/17/26 15:33:46.918,40,1013,27,44.5
07/17/26 15:34:03.637,30,1013,27.1,44.8
07/17/26 15:34:22.177,50,1013,27.1,44.6
07/17/26 15:34:42.046,70,1013,27.1,44.6
07/17/26 15:35:02.273,40,1013,27.1,44.4
07/17/26 15:35:22.958,70,1013,27.1,44.7
07/17/26 15:35:43.223,30,1013,27.1,44.5
07/17/26 15:36:03.447,50,1013,27,44.5
07/17/26 15:36:23.708,50,1013,27,44.5
07/17/26 15:36:43.900,30,1013,27.1,44.4
07/17/26 15:37:04.365,20,1013,27.1,44.4
07/17/26 15:37:24.815,30,1013,27.1,44.4
07/17/26 15:37:43.020,70,1013,27.1,44.5
07/17/26 15:37:58.251,40,1013,27,44.6
07/17/26 15:38:14.501,50,1013,27.1,44.6
07/17/26 15:38:31.339,30,1013,27.1,44.5
07/17/26 15:38:49.047,40,1013,27.1,44.4
07/17/26 15:39:08.155,20,1013,27.1,44.4
07/17/26 15:39:26.916,60,1013,27.1,44.4
07/17/26 15:39:44.788,30,1013,27.1,44.4
07/17/26 15:40:03.652,40,1013,27.1,44.4
07/17/26 15:40:23.939,20,1013,27.1,44.7
07/17/26 15:40:42.732,0,1013,27,44.7
07/17/26 15:41:00.029,10,1013,27.1,44.5
