,sensor [Auto],,,,,,
07/17/26 14:19:51.593,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:19:56.593,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:20:01.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:06.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:11.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:16.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:21.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:26.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:31.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:36.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:41.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:46.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:51.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:20:56.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:01.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:06.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:11.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:16.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:21.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:26.593,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:31.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:36.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:41.595,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:46.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:51.595,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:21:56.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:01.595,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:06.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:11.595,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:16.595,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:21.594,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:26.595,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:31.595,0,1017,26.8,61.7,1007,75,23.5
07/17/26 14:22:36.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:22:41.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:22:46.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:22:51.596,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:22:56.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:23:01.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:23:06.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:23:11.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:23:16.595,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:23:21.596,0,1017,26.8,61.8,1007,75,23.5
07/17/26 14:23:26.596,0,1017,26.8,61.9,1007,75,23.5
07/17/26 14:23:31.596,0,1017,26.8,61.9,1007,75,23.5
07/17/26 14:23:36.595,0,1017,26.8,61.9,1007,75,23.5
07/17/26 14:23:41.596,0,1017,26.8,61.9,1007,75,23.5
07/17/26 14:23:46.596,0,1017,26.8,61.9,1007,76,23.5
07/17/26 14:23:51.596,0,1017,26.8,61.9,1007,76,23.5
07/17/26 14:23:56.596,0,1017,26.8,61.9,1007,76,23.5
07/17/26 14:24:01.596,0,1017,26.8,61.9,1007,76,23.5
07/17/26 14:24:06.595,0,1017,26.8,61.9,1007,76,23.5
07/17/26 14:24:11.595,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:16.595,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:21.595,0,1017,26.8,62,1007,75,23.5
07/17/26 14:24:26.595,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:31.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:36.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:41.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:46.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:51.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:24:56.595,0,1017,26.8,62,1007,76,23.5
07/17/26 14:25:01.596,0,1017,26.8,62,1007,75,23.5
07/17/26 14:25:06.596,0,1017,26.8,62,1007,75,23.5
07/17/26 14:25:11.596,0,1017,26.8,62,1007,75,23.5
07/17/26 14:25:16.596,0,1017,26.8,62,1007,75,23.5
07/17/26 14:25:21.596,0,1017,26.8,62,1007,75,23.5
07/17/26 14:25:26.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:25:31.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:25:36.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:25:41.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:25:46.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:25:51.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:25:56.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:26:01.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:26:06.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:26:11.596,0,1017,26.8,62,1007,76,23.5
07/17/26 14:26:16.597,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:21.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:26.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:31.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:36.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:41.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:46.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:51.597,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:26:56.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:27:01.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:27:06.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:27:11.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:27:16.597,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:27:21.596,0,1017,26.8,62.1,1007,76,23.5
07/17/26 14:27:26.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:27:31.596,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:27:36.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:27:41.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:27:46.596,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:27:51.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:27:56.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:01.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:06.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:11.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:16.596,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:21.596,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:26.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:31.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:36.596,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:41.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:28:46.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:51.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:28:56.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:01.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:06.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:11.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:16.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:21.597,0,1016,26.8,62.1,1007,76,23.5
07/17/26 14:29:26.597,0,1017,26.8,62.2,1007,76,23.5
07/17/26 14:29:31.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:36.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:41.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:46.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:51.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:29:56.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:01.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:06.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:11.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:16.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:21.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:26.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:31.597,0,1016,26.8,61.9,1007,76,23.5
07/17/26 14:30:36.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:41.597,0,1016,26.8,62,1007,76,23.5
07/17/26 14:30:46.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:51.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:30:56.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:01.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:06.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:11.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:16.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:31:21.597,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:26.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:31.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:31:36.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:41.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:46.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:51.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:31:56.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:32:01.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:32:06.598,0,1016,26.8,62.2,1007,76,23.5
07/17/26 14:32:11.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:16.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:21.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:26.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:31.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:36.599,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:41.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:46.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:51.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:32:56.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:33:01.598,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:06.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:11.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:16.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:21.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:26.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:31.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:36.598,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:41.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:46.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:51.598,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:33:56.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:01.598,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:06.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:11.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:16.598,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:21.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:26.598,0,1016,26.8,62.3,1007,76,23.5
07/17/26 14:34:31.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:36.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:41.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:46.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:51.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:34:56.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:35:01.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:35:06.599,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:35:11.600,0,1016,26.8,62.4,1007,76,23.5
07/17/26 14:35:16.599,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:35:21.599,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:35:26.599,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:35:31.599,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:35:36.599,0,1016,26.8,62.6,1007,77,23.5
07/17/26 14:35:41.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:35:46.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:35:51.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:35:56.601,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:01.601,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:36:06.601,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:11.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:16.601,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:21.601,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:26.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:31.601,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:36:36.601,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:41.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:36:46.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:36:51.601,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:36:56.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:37:01.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:37:06.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:37:11.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:37:16.601,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:37:21.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:37:26.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:37:31.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:37:36.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:37:41.602,0,1017,26.8,62.5,1007,76,23.5
07/17/26 14:37:46.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:37:51.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:37:56.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:01.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:06.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:11.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:16.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:38:21.602,0,1017,26.9,62.5,1007,76,23.5
07/17/26 14:38:26.602,0,1017,26.9,62.5,1007,76,23.5
07/17/26 14:38:31.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:36.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:41.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:46.602,0,1016,26.8,62.5,1007,76,23.5
07/17/26 14:38:51.602,0,1016,26.9,62.5,1007,76,23.5
07/17/26 14:38:56.602,0,1016,26.8,62.6,1007,76,23.5
07/17/26 14:39:01.602,0,1017,26.8,62.6,1007,76,23.6
07/17/26 14:39:06.602,0,1016,26.9,62.6,1007,76,23.5
07/17/26 14:39:11.602,0,1016,26.9,62.6,1007,76,23.5
07/17/26 14:39:16.603,0,1016,26.8,62.6,1007,77,23.6
07/17/26 14:39:21.603,0,1016,26.8,62.6,1007,76,23.5
07/17/26 14:39:26.603,0,1017,26.9,62.6,1007,77,23.5
07/17/26 14:39:31.603,0,1016,26.8,62.6,1007,77,23.6
07/17/26 14:39:36.603,0,1016,26.8,62.6,1007,77,23.5
07/17/26 14:39:41.602,0,1016,26.9,62.5,1007,77,23.6
07/17/26 14:39:46.603,0,1016,26.8,62.6,1007,77,23.5
07/17/26 14:39:51.603,0,1016,26.8,62.6,1007,77,23.6
07/17/26 14:39:56.603,0,1016,26.8,62.6,1007,77,23.6
07/17/26 14:40:01.603,0,1016,26.8,62.7,1007,77,23.6
07/17/26 14:40:06.603,0,1016,26.9,62.6,1007,77,23.6
07/17/26 14:40:11.603,0,1017,26.9,62.6,1007,77,23.6
07/17/26 14:40:16.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:40:21.603,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:40:26.603,0,1016,26.9,62.6,1007,77,23.6
07/17/26 14:40:31.603,0,1017,26.9,62.6,1007,77,23.6
07/17/26 14:40:36.604,0,1016,26.9,62.6,1007,77,23.6
07/17/26 14:40:41.603,0,1016,26.9,62.6,1007,77,23.6
07/17/26 14:40:46.604,0,1016,26.9,62.6,1007,77,23.6
07/17/26 14:40:51.603,0,1016,26.9,62.6,1007,77,23.6
07/17/26 14:40:56.603,0,1016,26.9,62.6,1007,77,23.6
07/17/26 14:41:01.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:06.603,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:41:11.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:16.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:21.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:26.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:31.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:36.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:41.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:46.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:51.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:41:56.603,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:42:01.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:06.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:11.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:42:16.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:42:21.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:26.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:42:31.603,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:36.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:41.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:46.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:51.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:42:56.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:01.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:43:06.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:11.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:16.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:21.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:26.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:31.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:36.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:43:41.605,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:43:46.605,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:43:51.605,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:43:56.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:44:01.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:44:06.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:44:11.605,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:44:16.605,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:44:21.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:44:26.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:44:31.605,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:44:36.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:44:41.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:44:46.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:44:51.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:44:56.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:45:01.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:45:06.605,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:45:11.604,0,1017,26.9,62.7,1007,77,23.6
07/17/26 14:45:16.604,0,1016,26.9,62.7,1007,77,23.6
07/17/26 14:45:21.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:45:26.604,0,1016,26.9,62.8,1007,77,23.6
07/17/26 14:45:31.604,0,1016,26.9,62.8,1007,77,23.6
07/17/26 14:45:36.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:45:41.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:45:46.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:45:51.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:45:56.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:46:01.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:46:06.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:46:11.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:46:16.605,0,1016,26.9,62.8,1007,77,23.6
07/17/26 14:46:21.605,0,1016,26.9,62.8,1007,77,23.6
07/17/26 14:46:26.605,0,1016,26.9,62.8,1007,77,23.6
07/17/26 14:46:31.605,0,1016,26.9,62.8,1007,77,23.6
07/17/26 14:46:36.606,0,1016,26.9,62.8,1007,77,23.6
07/17/26 14:46:41.605,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:46:46.606,0,1016,26.9,62.9,1007,77,23.6
07/17/26 14:46:51.605,0,1016,26.9,62.9,1007,77,23.6
07/17/26 14:46:56.605,0,1016,26.9,62.9,1007,77,23.6
07/17/26 14:47:01.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:47:06.605,0,1016,26.9,62.9,1007,77,23.6
07/17/26 14:47:11.605,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:47:16.606,0,1016,26.9,62.9,1007,77,23.6
07/17/26 14:47:21.605,0,1016,26.9,62.9,1007,77,23.6
07/17/26 14:47:26.605,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:47:31.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:47:36.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:47:41.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:47:46.605,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:47:51.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:47:56.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:48:01.605,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:48:06.605,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:48:11.606,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:48:16.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:48:21.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:48:26.606,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:48:31.606,0,1017,26.9,62.8,1007,77,23.6
07/17/26 14:48:36.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:48:41.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:48:46.606,0,1016,26.9,62.9,1007,77,23.6
07/17/26 14:48:51.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:48:56.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:49:01.607,0,1017,27,62.9,1007,77,23.6
07/17/26 14:49:06.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:49:11.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:49:16.606,0,1017,27,62.9,1007,77,23.6
07/17/26 14:49:21.607,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:49:26.606,0,1017,26.9,62.9,1007,77,23.6
07/17/26 14:49:31.606,0,1017,27,63,1007,77,23.6
07/17/26 14:49:36.606,0,1017,27,62.9,1007,77,23.6
07/17/26 14:49:41.606,0,1017,27,62.9,1007,77,23.6
